Brand Name,Smartphone Name,Color,RAM,ROM,Primary Camera,Secondary Camera,Display Size,Battery Capacity,Price,URL
realme,C30,Denim Black,3 GB,32 GB,8MP Rear Camera,5MP Front Camera,16.51 cm (6.5 inch),"ACC, AMR, FLAC, M4A, MID, MP2, MP3, OGG","₹6,799",https://www.flipkart.com/realme-c30-denim-black-32-gb/p/itmfcf69b2db5059?pid=MOBGF37GMBMYRFBK&lid=LSTMOBGF37GMBMYRFBKNVTNSG&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_14&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGF37GMBMYRFBK.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
realme,-,-,-,-,-,-,-,-,"₹24,999",https://www.flipkart.com/realme-10-pro-5g-dark-matter-128-gb/p/itmd32a2fec1fb60?pid=MOBGK8WZ6FQR4YCJ&lid=LSTMOBGK8WZ6FQR4YCJHEJKXL&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_15&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGK8WZ6FQR4YCJ.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
realme,10 Pro+ 5G,Hyperspace,8 GB,128 GB,108MP + 8MP + 2MP,16MP Front Camera,17.02 cm (6.7 inch),"AAC, M4A, APE, FLAC, MP3, OGG, WAV, AMR, MID, WMA","₹25,999",https://www.flipkart.com/realme-10-pro-5g-hyperspace-128-gb/p/itmd32a2fec1fb60?pid=MOBGK8WZAAWCVVGZ&lid=LSTMOBGK8WZAAWCVVGZSRDO9R&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_16&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGK8WZAAWCVVGZ.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
realme,10 Pro+ 5G,Hyperspace,6 GB,128 GB,108MP + 8MP + 2MP,16MP Front Camera,17.02 cm (6.7 inch),"AAC, M4A, APE, FLAC, MP3, OGG, WAV, AMR, MID, WMA","₹24,999",https://www.flipkart.com/realme-10-pro-5g-hyperspace-128-gb/p/itmd32a2fec1fb60?pid=MOBGK8WZQJXDBDFF&lid=LSTMOBGK8WZQJXDBDFFRPKQRO&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_17&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGK8WZQJXDBDFF.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
realme,10 Pro+ 5G,Nebula Blue,8 GB,128 GB,108MP + 8MP + 2MP,16MP Front Camera,17.02 cm (6.7 inch),"AAC, M4A, APE, FLAC, MP3, OGG, WAV, AMR, MID, WMA","₹25,999",https://www.flipkart.com/realme-10-pro-5g-nebula-blue-128-gb/p/itmd32a2fec1fb60?pid=MOBGK8WZWEXQSZSV&lid=LSTMOBGK8WZWEXQSZSVQZSA7D&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_18&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGK8WZWEXQSZSV.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
vivo,T1 44W,Starry Sky,6 GB,128 GB,50MP + 2MP + 2MP,16MP Front Camera,16.36 cm (6.44 inch),Yes,"₹15,999",https://www.flipkart.com/vivo-t1-44w-starry-sky-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVMW2UDXZY&lid=LSTMOBGDRHVMW2UDXZYRBYUFR&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_19&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGDRHVMW2UDXZY.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
realme,C33,Night Sea,3 GB,32 GB,50MP + 0.3MP,5MP Front Camera,16.51 cm (6.5 inch),"ACC, AMR, FLAC, M4A, MID, MP2, MP3, OGG","₹8,999",https://www.flipkart.com/realme-c33-night-sea-32-gb/p/itma112335dbe78a?pid=MOBGHBJGGVPHHTYQ&lid=LSTMOBGHBJGGVPHHTYQPKXLM2&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_20&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGHBJGGVPHHTYQ.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
realme,C33,Sandy Gold,3 GB,32 GB,50MP + 0.3MP,5MP Front Camera,16.51 cm (6.5 inch),"ACC, AMR, FLAC, M4A, MID, MP2, MP3, OGG","₹8,999",https://www.flipkart.com/realme-c33-sandy-gold-32-gb/p/itma112335dbe78a?pid=MOBGHBJGF9QZYSZX&lid=LSTMOBGHBJGF9QZYSZXROLVZH&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_21&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGHBJGF9QZYSZX.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
vivo,T1 44W,Starry Sky,8 GB,128 GB,50MP + 2MP + 2MP,16MP Front Camera,16.36 cm (6.44 inch),Yes,"₹17,999",https://www.flipkart.com/vivo-t1-44w-starry-sky-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVHYFKQP8K&lid=LSTMOBGDRHVHYFKQP8KO8XQJV&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_22&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGDRHVHYFKQP8K.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
vivo,T1 44W,Midnight Galaxy,8 GB,128 GB,50MP + 2MP + 2MP,16MP Front Camera,16.36 cm (6.44 inch),Yes,"₹17,999",https://www.flipkart.com/vivo-t1-44w-midnight-galaxy-128-gb/p/itm2a08ebbea3689?pid=MOBGDRHVWJUFTYQJ&lid=LSTMOBGDRHVWJUFTYQJ2SYXAC&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&spotlightTagId=BestvalueId_tyy%2F4io&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGDRHVWJUFTYQJ.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
Micromax,-,-,-,-,-,-,-,-,"₹5,999",https://www.flipkart.com/micromax-2c-brown-32-gb/p/itm1c641ec8dd5c0?pid=MOBGDCF2NPEHJVTY&lid=LSTMOBGDCF2NPEHJVTYIXDHGC&marketplace=FLIPKART&q=pixel+4A&store=tyy%2F4io&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=229507f5-017f-4a45-bf8b-0bc17b195736.MOBGDCF2NPEHJVTY.SEARCH&ppt=pp&ppn=pp&ssid=r1t294fa8g0000001671995136376&qH=9b26a23b2cff510d
