Comment,Comment Upvote,Time
"Touch my 🇧🇩
Jay shree ram",5,1 year ago (edited)
This song deserve billion views  Jai Shree Ram️️️️,,4 weeks ago
"Whoever’s reading this, I pray that whatever your going through gets better and whatever your struggling with or worrying about is going to be fine and that everyone has a fantastic day!",,4 days ago
जय श्री राम,,6 days ago
Spiritual knowledge is the highest form of enlightenment ️,372,2 weeks ago
जय श्री राम,,6 days ago
I am Muslim but i can't stop watching it's amazing ️️,12,1 year ago
I like this song very much because my favorite singer sachet is singing ️️,,2 weeks ago
I really don't know why i came here for listening this amazing song ️. Jai shree ram ,11,1 month ago
Ram Siya Ram Siya Ram jai jai Raam ,,8 days ago
Jai Shree Ram ️️️️️️️️️️️️️,,6 days ago
I lost my lovely  grandfather on my birthday but when I listen this song there are tears in my eyes for losing my lovely grandfather whom I love most,,1 day ago
Very nice song,3,5 days ago
"Real identity of T-series.... 
Jai shree Ram
Jai Sanatan Dharma love from Bangladesh ️️🇧🇩",,8 months ago
Hard touching song ️️,,2 weeks ago
Sachet Tandon bro your voice is so clear and pure you literally made me cry with your pure and divine voice. Love towards God can be felt from your voice. Please sing more of such songs ️,,1 month ago
"Such a beautiful song! I have been sleeping to it for last 2 3 days and it really helps. Many a times my eyes get watery listening and feeling this song.
PS - While trying to sleep, I play this song on loop on spotify and add a sleep timer, I came to youtube just to leave this comments. 3:30",351,1 month ago
ये धुन मेरे रोम रोम को आनंदित कर देती है,,9 days ago
"""RAM SIYA RAM"" line brings goosebumps ",3,1 year ago
One salute to Shabbir Ahmed who wrote the lyrics!! 🫡,,3 weeks ago
इस गाना को सुनकर मन को शांति मिलता है जय श्री राम सीताराम,5,9 days ago
Jay Shree Ram,,10 days ago
"इस भजन से आसपास का वातावरण भक्तिमय हो जाता है मन को शांति मिलती है।
        जय जय सियाराम ",,4 days ago
Jay Shree Ram,,9 days ago
"इतनी खुबसूरत पंक्तिया हमारे मुस्लिम भाई ""शाबीर अहमद"" ने लिखी है।यही तो हमारे प्यारे भारत कि खुबसूरती है।जय हिन्द",59,6 months ago
I'm Sikh but love this masterpiece ️,,1 day ago
"I don't know when I playing this Bhajan after finishing same bhajan is playing even YouTube showing another video after finishing of it. ️️️️
What an Attachment for this Bhajan Even I didn't know ",,1 month ago
Jai Ho shree Seeta Ram ji ki Jai Ho ,,5 days ago
Love this song ,285,1 month ago
Jai siya ram ,,8 days ago
"This music was so good , finally T-Series came with such a good music like this ️

 जय श्री राम 
 जय सिया राम ",48,1 year ago
"No matter how old the song is, when Hindus ️are mentioned, it will go viral even after 10 years.",,3 weeks ago
"Its 4 am I have an exam in 3 hours and 3 presentations at school . I woke up because of my anxiety , but i started listening to this and started raining , I started to relax and have confidence on what i have studied . Wish me luck and Thank you for reading this .",2,4 days ago
Jay sri ram Jay sri ram,,5 days ago
I love this song  and jay shree ram ,,3 weeks ago
Joy sri ram,,8 days ago
"I am so so so lucky to born as Hindu , Ram Siya Ram Siya Ram Jai Jai Ram .",1,1 month ago
"Dear person who’s reading this, we may not know each other but I wish you all the best in life. Stop blaming yourself, accept things & move forward. Your smile is precious.  The key to happiness lies in your hands, so open it up. 
He, who can hold the universe together can do anything, trust him ️",,6 days ago
Jai shree ram  jai shree ram ji ke bhakt hanuman ji ,1,5 days ago
Broo Lyrics Shabbir Ahmed Hats Offf To This Legend  That's What We Called As Indian ,,1 month ago
Jai Shri ram muje bar bar sune ka man karta hai Jai Shri ram,1K,6 days ago
"Miss u gulshan kumar 
Aapki yaad aa gyi  
I dedicate this song to him
️U",,1 year ago
"Such a beautiful song! I have been sleeping to it for last 2 3 days and it really helps. Many a times my eyes get watery listening and feeling this song.
PS - While trying to sleep, I play this song on loop on spotify and add a sleep timer, I came to youtube just to leave this comments.",2,1 month ago
"Jai shree Ram 
Din ban jaata hai is voice se",,1 month ago
Ram Siya ram Siya ram Jay Jay ram   ️ ,14,10 days ago
Peaceful ️,,1 month ago
Jai shree ram ,,8 days ago
दुनिया की साड़ी खुशी एक तरफ। और ये भजन सुनने की खुशी एक तरफ। दिल को अलग ही सुकुन मिलटा है। जय श्री राम .,,1 month ago
यह भजन सुनकर मन तो शांत हो ही जाता है और काम करने में मन भी लगता है जय श्री राम ️️️,1,2 days ago
This voice is so awesome ️️,,1 month ago (edited)
Jai shree ram ji  jai  shree ram ji ke bhakt hanuman ji ,,9 days ago
Example of true love = siya ram ️,,1 month ago
Joy shre ram ️️️,362,7 days ago
Goosebumps came out when little hanumanaji showed his gda,,1 year ago
"Such a beautiful song! I have been sleeping to it for last 2 3 days and it really helps. Many a times my eyes get watery listening and feeling this song.
PS - While trying to sleep, I play this song on loop on spotify and add a sleep timer, I came to youtube just to leave this comments.",3,1 month ago
Epic song never get old,,1 month ago
Jaii ram️,4,6 days ago
मेरे मन में जब भी कोई हलचल होती है तब मैं यही भजन सुनने आ जाता हूं इसे सुनकर मेरे मन को शांति मिलती है जय सियाराम,,1 day ago
Jay shri ram,4,6 days ago
Masha Allah Kitna khubshurat pyari aawaj h sunke Dil ko sukun mil rha h wow NYC ️️️,,1 month ago
"This is a Masterpiece song
Love from West Bengal
Jai sri  Ram ",,3 weeks ago
I listen to this bhajan everyday in the morning and evening. ️️Jay Shree Ram ,,23 hours ago
Jai shree ram,566,8 days ago
"Ram is not a name 
It's just emotions ",,3 days ago
WANDER FULL SONG MONING WHEN I SIEEP  OUT I AM PLAY THIS SONG THE SONG IS LOVLY ND I FEEL THIS SONG,,3 days ago
Gita se mila gyan Ramayan se mile Shri ram Kismat se mila Hindustan .......bolo siya ram chandra ki jai....,,3 months ago
"Such a beautiful song! I have been sleeping to it for last 2 3 days and it really helps. Many a times my eyes get watery listening and feeling this song.
PS - While trying to sleep, I play this song on loop on spotify and add a sleep timer, I came to youtube just to leave this comments. 2 :57",38,1 month ago
Meri din ke suruaat hoti h ye bhajan sun kr jai sri ram i proud of my sanaatan dharm ,,1 month ago (edited)
Jai shree Ram ,1,2 days ago
अद्भुत  आंखों से आसू आ गया  जय श्री राम ,,1 month ago
Jay shri ram,,7 days ago
So satisfying ..... Sochta hu yeh song chalta hi rhe kabhi khtam hi na ho ...ram siya ram siya ram jai jai ram ,,1 year ago
Am listening this song every morning nd this will give me positive Vibes,,1 month ago (edited)
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,1 month ago
Jai shri raam....!!,298,6 days ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,1 month ago
Jay shree ram,11,7 days ago
"Love this Bhajan. 
Jay siyaraam
Jay jagannath. ଜୟ ଜଗନ୍ନାଥ ",,9 months ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,31,1 month ago
Mere aankh se aanshu aa gye ️️️,,2 weeks ago
 जय सियाराम ,,10 days ago
This song give me complete peace of mind. I listen this song again and again.,,3 weeks ago
Good music,,7 days ago
"Ram is not just a word , it's a feeling and great emotion..... Jai Shree Ram ",,1 year ago (edited)
this song is addictive.......... JAI SHREE RAM,,3 weeks ago (edited)
Heart touching song...️,,1 month ago
जय जय श्री राधे,890,5 days ago
 jai Ram siya ram man itna pyra song Goosebumps a jate hai ️️️️️️,,1 month ago
Jay shree ram,5,6 days ago
Jai Shree Ram ️🇮🇳,,3 weeks ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,2 weeks ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,13 days ago
Jay shree Ram,3,8 days ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,1 month ago
Jay shree Ram,1,7 days ago
Jay Siya Ram,,1 year ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,1,1 month ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,2 weeks ago
Jai shree ram jai maa sita jai baba laxman jai bajrangbali,,5 days ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,1 month ago
Jay shree Ram,304,6 days ago
"Don't know why but my eyes got tears after listening this
Ram Siya Ram Siya Ram Jai Jai Ram",,10 months ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,1,4 weeks ago
I am proud of to be a sanatani Jay shri ram,,9 days ago
Jay shree Ram,,7 days ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,4 weeks ago
Ram siya Ram Siya joy joy,,7 days ago
Aankho me aansu aa gaye Jay Shree Ram ,,1 year ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,16,4 weeks ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,3 weeks ago
Jai shree ram ,,4 days ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,1 month ago
Jai shita Ram ,727,7 days ago
"That's what our religion always taught us that is ""Honesty""
Really appreciate such T-Series initiate️",,1 year ago
LYRICS BY SABBIR AHMED... THAT'S MY INDIA️...WHAT A LYRICS & SINGING...️️,1,3 weeks ago (edited)
RAM SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,1 month ago
Jai shree ram,2,1 day ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,8 days ago (edited)
Jai shree ram ji  jai shree ram  ji ke bhakt hanuman ji ,,20 hours ago
I am from America 🇺🇸 and I born in India and I listing this song first time this song touching my heart,,6 months ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,5,1 month ago
This Song Deserve 1B Views,,1 month ago
Ram ji ,,5 days ago
JAI SHREE RAM ️ JAI SIYA RAM BHAKT HANUMAN JI ️,,1 month ago
"Sunke Dil ko sukoon milta hai jo nam
Maryada purushottam Hai Shri Ram",701,9 days ago
मुझे ये भजन बहुत पसंद है सच मे मन को छू लिया एक बार जब सुना...मन ने किया बार बार सुने...️सीता राम जी सबकी रक्षा करें...️jay shree Raam ,,10 months ago
"3:03 Such a beautiful song! I have been sleeping to it for last 2 3 days and it really helps. Many a times my eyes get watery listening and feeling this song.
PS - While trying to sleep, I play this song on loop on spotify and add a sleep timer, I came to youtube just to leave this comments.",4,1 month ago
One of the fav. Song in the world for me Jai SiyaRam,,1 month ago
"Billion views तक पहुंचाने की जिम्मेदारी हमारी।
                                  जय श्री राम",6,6 days ago
I am very lucky to be born in a Hindu family and I can proudly say that I am a Hindu ️️️️,,3 weeks ago
जय श्रीराम nice song,,7 days ago
Hav heard almost 50 times still can't get over from this song  Hey Ram ,,1 year ago
श्राद्ध और भक्ति से बड़ा कोई नही हो सकता  आपने भगवान पर अटुट विश्वास रखिये  जय सिया राम,,1 month ago
JAY SHREE RAM ️,,1 month ago
Jai shree Ram ️️️ Jai shree Bajrang Balaji Maharaj Ji ️️️,,8 days ago
You are in my life that can give what I deserve god jai siya ram ,,6 days ago
Jai Shree ram,232,10 days ago
"Ram is not just a word , it's an emotion and fellings of all Indian people .Jay Sri Ram",,1 year ago
"What a great song 
What a great voice of singer 
Jai shree ram 
Lovely great song",49,1 month ago
After so many years finally T-Series present a heart touching song ️️,,4 weeks ago
"Ram shiya Ram shiya Ram shiya Ram Jai Ram Ram 
Jai shree Ram ️️",4,5 days ago
Everyday  from morning  to midnight  I listen  this really  feeling  good.....RAAM JAI JAI RAAM,,4 weeks ago
Jay shree ram ,2,8 days ago
"I get tears in my eyes everytime I listen to  the word  राम
 जय श्री राम।",,1 year ago (edited)
JAI SHREE RAM  JAI SIYA RAM BHAKT HANUMAN JI ️,56,6 days ago
I am in love with this song. it provides a kind of peaceful sansation in mind and heart. ,,1 month ago
️️Jai siya Ram ,,5 days ago
Now this time early morning I am enjoying bhagwan Sri Ram ji presenting here and blessing me.,,3 weeks ago
Jay siyaram ️️️️️,66,6 days ago
"Lyrics is written by Sabbir Ahmed..... So many years after Independence, our Muslim is also understanding difference between religion and culture ",,1 year ago
Jai Shree ram,12,6 days ago
